Status,Species name (Current accepted),"Authority, Year",Common Name,Species  (Previous names),Fauna,Kingdom,Phylum,Class,Order,Family,Genus,Species,Native_biogeog,Native_geog,Species name (First published),Reference (First published),Specific Page No. (First published),Date: yyyy (First published),Latitude (First published),Longitude (First published),Location (First published),Species name (First sighting),Reference (First sighting),Date: dd/mm/yyyy (First sighting),Year (First sighting),Latitude (First sighting),Longitude (First sighting),Location (First sighting),Introduction pathway,Introduction_mode,Introduction_all,"Introduction pathway 
Reference","Extinction 
(Y/N)",Year (Extinction),Extinction Reference,"Active removal
(Y/N)","Active removal 
Reference","References: Subsequent records (Surname, journal short form, vol(issue) (year) page)",Additional Remarks
Naturalised,Gambusia affinis,"Baird and Girard, 1853","Mosquitofish, Western Mosquitofish","Gambusia patruelis, Gambusia affinis affinis, Gambusia holbrooki",Freshwater,Animalia,Chordata ,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,affinis,Neotropic,Central America,Gambusia affinis,"Johnson, D. S. (1973). Freshwater Life. In S. H. Chuang (Ed.), Animal Life and Nature in Singapore. Singapore University Press. pp. 103-127",123,1973,,,Singapore,Gambusia affinis,"Johnson, D. S. (1973). Freshwater Life. In S. H. Chuang (Ed.), Animal Life and Nature in Singapore (pp. 103-127). Singapore University Press. ",1973,1973, , ,Singapore,Intentionally introduced as a mosquito control agent,,Biological control,"Tan, H. H., Lim, K. K. P., Liew, J. H., Low, B. W., Lim, R. B. H., Kwik, J. T. B., & Yeo, D. C. J. (2020). The non-native freshwater fishes of Singapore: an annotated compilation. Raffles Bulletin of Zoology, 68, 150-195. https://doi.org/10.26107/RBZ-2020-0016 ",N,,,N,,"Johnson, (as Gambusia spp.) Animal Life and Nature in Singapore (Chuang SH, ed.) (1973) 129, 133; Anonymous, The Pangolin, 1(1) (1988) 8; Lim & Ng, (as Gambusia holbrooki) A Guide to the Freshwater Fishes of Singapore (1990) 81, 130; Munro, (as G. holbrooki) Essays in Zoology (1990); Ng et al, (as G. holbrookii) Biol. Conserv., 64 (1993) 19–20; Fernando & Phang, Freshwater Ornamental Fish Aquaculture in Singapore (1994); Subaraj et al, (as G. holbrookii) The Pangolin 8(1–4) (1995) 7; Lim et al, (as G. holbrookii) The Pangolin 8(1–4) (1995) 22; Lever, Naturalized Fishes of the World (1996); Ng & Lim, (as G. holbrookii) Journal of the Singapore National Academy of Science, 22–24 (1997) 116; Ng & Lim, (as G. holbrookii) Gard Bull (Singapore), 49(2) (1997) 259; Baker & Lim, Wild Animals of Singapore 1st Edition (2008) 164; Baker & Lim, Wild Animals of Singapore 2nd Edition (2012) 164; Ng & Tan, COSMOS, 6(1) (2010) 105–106, 113 (only this page – as G. holbrookii); Tan et al, The Natural Heritage of Singapore 3rd Edition (2010); Yeo & Lim, NiS, 3 (2010) 330; Davidson et al, Wild Singapore (2012); Ng & Tan, NiS, 6 (2013) 22, 24; Tan, Singapore Biodiversity Records, 2014 (2014) 91–92; Kwik & Yeo, Hydrobiologia, 762 (2015) 146–147; Tan, Singapore Biodiversity Records, 2016 (2016) 105–106; Ho et al, A Guide to the Freshwater Fauna of Nee Soon Swamp Forest (2016) 8, 53; Lim et al, NiS, 9 (2016) 168; Tan et al, Singapore Biodiversity Records, 2016 (2016) 186; Tan et al, Singapore Biodiversity Records, 2017 (2017) 7; Tan, Singapore Biodiversity Records, 2019 (2019) 70, 72; Tan, Singapore Biodiversity Records, 2019 (2019) 160–161; Tan et al, Raffles Bull. Zool., 68 (2020) 153, 170–171",
Naturalised,Osphronemus goramy,"Lacepède, 1801","Giant Gourami, Giant Gouramy","Osphromenus gourami, Osphromenus notatus, Osphromenus olfax, Osphromenus satyrus, Osphronemus gorami, Osphronemus gourami, Osphronemus gouramy, Trichopode mentonnier, Trichopodus mentum, Trichopus goramy, Trichopus satyrus",Freshwater,Animalia,Chordata,Actinopteri,Anabantiformes,Osphronemidae ,Osphronemus,goramy,Indomalayan,Southeast Asia,,"Green, C. F. (1928). Fish Culture. In Annual Report of the Fisheries Department of the Straits Settlement of the Federation of Malay States. 12 pp. ","TBD, first record not available online ",1928,,,,,"Green, C. F. (1928). Fish Culture. In Annual Report of the Fisheries Department of the Straits Settlement of the Federation of Malay States. 12 pp.",,,,,,"Live food fish industry (originally introduced), unwatned aquarium pet",,Consumption trade | Pet trade,"Ng, H. H., & Tan, H. H. (2010). An annotated checklist of the non-native freshwater fish species in the reservoirs of Singapore. COSMOS, 6, 95-116. https://doi.org/10.1142/S0219607710000504",N,,,N,,"Green, (as Osphronemus olfax) Annual Report of the Fisheries Department of the Straits Settlement of the Federation of Malay States (1928); Smith, (as Trichogaster pectoralis or pla salid: snakeskin goramy) NHBSS, 9(2) (1933) 259-260; Herre & Myers, Raffles Bull. Zool., 13 (1937) 71-72; Tweedie, Raffles Bull. Zool., 16 (1940) 69; Alfred, Zool. Verh., 78 (1966) 12, 48, 51; Johnson, Animal Life and Nature in Singapore (Chuang SH, ed.) (1973) 112; Anonymous, The Pangolin Malayan Nature Society, 1(1) (1988) 9; Lim & Ng, A Guide to the Freshwater Fishes of Singapore (1990) 100-101, 130; Munro, Essays in Zoology (1990); Ng et al, Biol. Conserv., 64 (1993) 20; Ng & Lim, Journal of the Singapore National Academy of Science, 22-24 (1997); Ng & Lim, Gard Bull (Singapore), 49(2) (1997) 260; National Parks Board, Sungei Buloh Wetland Reserve: A Decade of Wetland Conservation (2003); Ng & Tan, COSMOS, 6(1) (2010) 112-113; Chua, Rainforest in a City (2015); Tan, Singapore Biodiversity Records, 2017 (2017) 44; Tan et al, Raffles Bull. Zool., 68 (2020) 154, 183-184","For first sighting (from Alfred reference), Herre & Myers (1937) report that 2 specimens of 166 and 169 mm standard length, were taken from a pond by A. W. Herre in March 1934. Exact location of the pond is not specified. Subsequent sightings recorded at Macritchie Reservoir and Jurong River."
Naturalised,Oxyeleotris marmorata,"Bleeker, 1852","Marble Goby, Soon Hock, Marbled Gudgeon",,Freshwater,Animalia,Chordata ,Actinopteri,Perciformes,Eleotridae,Oxyeleotris  ,marmorata,Indomalayan,Southeast Asia,,,Species status is ambiguous in Singapore,,,,,,,,,,,,,,,,N,,,N,,           ,Species is native to brackish water in Singapore; but introduced in terms of inland fresh waters (reservoirs and streams)
Naturalised,Parachromis managuensis,"Günther, 1867","Jaguar cichlid, Jaguar Guapote","Cichlasoma managuense, Heros managuensis",Freshwater,Animalia,Chordata ,Actinopteri,Perciformes,Cichlidae ,Parachromis ,managuensis,Neotropic,Central America,Parachromis managuensis,"Baker, N., & Lim, K. (2008). Wild Animals of Singapore: A Photographic Guide to Mammals, Reptiles, Amphibians and Freshwater Fishes (1st ed.). Draco Publishing and Distribution Pte. Ltd. Nature Society (Singapore). 180 pp.",165,2008,,,Singapore,Parachromis managuensis,"Baker, N., & Lim, K. (2008). Wild Animals of Singapore: A Photographic Guide to Mammals, Reptiles, Amphibians and Freshwater Fishes (1st ed.). Draco Publishing and Distribution Pte. Ltd. Nature Society (Singapore). 180 pp.",2008,2008, , ,Singapore,Introduced through the discarding of unwanted aquarium fish,,,"Ng, H. H., & Tan, H. H. (2010). An annotated checklist of the non-native freshwater fish species in the reservoirs of Singapore. COSMOS, 6, 95-116. https://doi.org/10.1142/S0219607710000504 ",N,,,N,,"Baker & Lim, Wild Animals of Singapore 2nd Edition (2012) 165; Ng & Tan, COSMOS 6(1) (2010) 110; Tan et al, The Natural Heritage of Singapore 3rd edition (2010) 252; Kwik et al, BioInvasions Rec 2(3) (2013) 241-243",
Naturalised,Parambassis siamensis,"Fowler, 1937",Indochinese Glass-perchlet,,Freshwater,Animalia,Chordata ,Actinopteri,Perciformes,Chandidae,Parambassis ,siamensis,Indomalayan,Southeast Asia,Chanda nama,"Anonymous (1989). Recent reports. The Pangolin, Malayan Nature Society (Singapore Branch), 2(2): 17-26.",21,1989,1.3670980,103.8027730,Upper Peirce Reservoir,Chanda nama,"Anonymous (1989). Recent reports. The Pangolin, Malayan Nature Society (Singapore Branch), 2(2): 17–26.",1989,1989,1.3670980,103.8027730,Upper Peirce Reservoir,"Introduced through raw water transfered from Johor, Peninsular Malaysia",,,"Ng, H. H., & Tan, H. H. (2010). An annotated checklist of the non-native freshwater fish species in the reservoirs of Singapore. COSMOS, 6, 95-116. https://doi.org/10.1142/S0219607710000504 ",N,,,N,,"Anonymous, (as Chanda nama) The Pangolin, 2(2) (1989) 21; Anonymous (as Parambassis punctulatus) The Pangolin, 3(1–4) (1990) 15; Lim & Ng, (as Chanda sp.) A Guide to the Freshwater Fishes of Singapore (1990) 118; Munro, (as Parambassis punctulatus) Essays in Zoology (1990) ; Ng et al, (as Parambassis punctulatus) Biol. Conserv., 64 (1993) 19–20; Lim et al, The Pangolin, 8(1–4) (1995) 22; Subaraj et al, The Pangolin, 8(1–4) (1995) 7; Ng & Lim, Journal of the Singapore National Academy of Science, 22–24 (1997) 117; Ng & Lim, Gard. Bull. Singapore, 49(2) (1997) 259;  Baker & Lim, Wild Animals of Singapore 1st Edition (2008) 165; Ng & Tan, COSMOS, 6(1) (2010) 106; Baker & Lim, Wild Animals of Singapore 2nd Edition (2012)165; Kwik et al, BioInvasions Records, 2(3) (2013) 241–243; Ng & Tan, NiS, 6 (2013) 20–21, 24; Ho et al, A Guide to the Freshwater Fauna of Nee Soon Swamp Forest (2016) 56; Li et al, Raffles Bull. Zool., 32 (2016) 68, 74, 76–77, 80–81; Tan, Singapore Biodiversity Records, 2018 (2018) 94–95",
Naturalised,Pterygoplichthys joselimaianus,"Weber, 1991",Spotted Sailfin Catfish ,Glyptoperichthys joselimaianus ,Freshwater,Animilia ,Chordata ,Actinopteri,Siluriformes,Loricariidae,Pterygoplichthys,joselimaianus,Neotropic,South America,Pterygoplichthys joselimaianus,"Ng, H. H., & Tan, H. H. (2010). An annotated checklist of the non-native freshwater fish species in the reservoirs of Singapore. COSMOS, 6, 95-116. https://doi.org/10.1142/S0219607710000504 ",104,2010,1.3154000,103.7434000,Pandan Reservoir,Pterygoplichthys joselimaianus,"Ng, H. H., & Tan, H. H. (2010). An annotated checklist of the non-native freshwater fish species in the reservoirs of Singapore. COSMOS, 6, 95-116. https://doi.org/10.1142/S0219607710000504 ",12/2006 - 09/2009,2006,1.3154000,103.7434000,Pandan Reservoir,Likely ornamental fish trade,,Pet trade,"Tan, H. H., Lim, K. K. P., Liew, J. H., Low, B. W., Lim, R. B. H., Kwik, J. T. B., & Yeo, D. C. J. (2020). The non-native freshwater fishes of Singapore: an annotated compilation. Raffles Bulletin of Zoology, 68, 150-195. https://doi.org/10.26107/RBZ-2020-0016 ",N,,,N,,"Tan, Singapore Biodiversity Records, 2014: 173; Tan, Singapore Biodiversity Records, 2016: 137–138; Ho et al, A Guide to the Freshwater Fauna of Nee Soon Swamp Forest (2016) 50",
Naturalised,Pterygoplichthys joselimaianus,"Weber, 1991",Spotted Sailfin Catfish ,Glyptoperichthys joselimaianus ,Freshwater,Animilia ,Chordata ,Actinopteri,Siluriformes,Loricariidae,Pterygoplichthys,joselimaianus,Neotropic,South America,Pterygoplichthys joselimaianus,"Ng, H. H., & Tan, H. H. (2010). An annotated checklist of the non-native freshwater fish species in the reservoirs of Singapore. COSMOS, 6, 95-116. https://doi.org/10.1142/S0219607710000504 ",104,2010,1.4051000,103.8434000,Lower Seletar Reservoir,Pterygoplichthys joselimaianus,"Ng, H. H., & Tan, H. H. (2010). An annotated checklist of the non-native freshwater fish species in the reservoirs of Singapore. COSMOS, 6, 95-116. https://doi.org/10.1142/S0219607710000504 ",12/2006 - 09/2009,2006,1.4051000,103.8434000,Lower Seletar Reservoir,Likely ornamental fish trade,,Pet trade,"Tan, H. H., Lim, K. K. P., Liew, J. H., Low, B. W., Lim, R. B. H., Kwik, J. T. B., & Yeo, D. C. J. (2020). The non-native freshwater fishes of Singapore: an annotated compilation. Raffles Bulletin of Zoology, 68, 150-195. https://doi.org/10.26107/RBZ-2020-0016 ",N,,,N,,"Tan, Singapore Biodiversity Records, 2014: 173; Tan, Singapore Biodiversity Records, 2016: 137–138; Ho et al, A Guide to the Freshwater Fauna of Nee Soon Swamp Forest (2016) 50",
Naturalised,Pterygoplichthys pardalis,"Castelnau, 1855",Amazon sailfin catfish,,Freshwater,Animilia ,Chordata ,Actinopteri,Siluriformes,Loricariidae,Pterygoplichthys ,pardalis,Neotropic,South America,Hypostomus sp.,"Anonymous (1988a). Recent reports. The Pangolin, Malayan Nature Society (Singapore Branch), 1(1): 2-10.",8,1988,1.3691144,103.8023865,stream near Upper Peirce,Hypostomus sp.,"Anonymous (1988a). Recent reports. The Pangolin, Malayan Nature Society (Singapore Branch), 1(1): 2-10.",9/4/1988,1988,1.3691144,103.8023865,stream near Upper Peirce,Escapees from aquarium trade or through intentional release,,,"Ng, P. K. L., & Lim, K. K. P. (1989). The South American Loricariid catfish, Pterygoplicthys sp., in Singapore freshwaters. The Pangolin, 2(4), 69-71. ",N,,,N,,"Anonymous, (as Hypostomus ?plecostomus) The Pangolin, 1(2) (1988) 29; Ng & Lim, (as Pterygoplichthys sp.) The Pangolin, 2(4) (1989) 69–70; Lim & Ng, (as Hypostomus sp.) A Guide to the Freshwater Fishes of Singapore (1990) 66–67; Ng, (as Pterygoplichthys sp.) A Guide to Freshwater life in Singapore (1991) 135; Lim & Ng, (as Liposarcus pardalis), The Pangolin, 5(1–4) (1992) 11; Ng & Lim, (as Liposarcus pardalis) Journal of the Singapore National Academy of Science, 22–24 (1997) 116, 122; Ng & Lim, (as Liposarcus pardalis) Gard. Bull. Singapore, 49(2) (1997) 259; Goh et al, (as Liposarcus sp.) A Guide to Urban Creatures (2002) 128; National Parks Board, (as Liposarcus spp.) Sungei Buloh Wetland Reserve: A Decade of Wetland Conservation (2003) 95; Page & Robins, Raffles Bull. Zool., 54(2) (2006) 455–456;  Baker & Lim, Wild Animals of Singapore 1st Edition (2008) 164;  Ng & Tan, COSMOS, 6(1) (2010) 104; Tan et al, The Natural Heritage of Singapore 3rd Edition (2010) 252; Baker & Lim, Wild Animals of Singapore 2nd Edition (2012) 164; Kwik et al, (as Pterygoplichthys pardaris) BioInvasions Rec., 2(3) (2013) 241–243; Ho et al, A Guide to the Freshwater Fauna of Nee Soon Swamp Forest (2016) 49–51","Johnson, (as Gambusia spp.) Animal Life and Nature in Singapore (Chuang SH, ed.) (1973) 129, 133; Malayan Nature Society, The Pangolin, 1 (1988) 8; Lim & Ng, (as Gambusia holbrooki) A Guide to the Freshwater Fishes of Singapore (1990) 81, 130; Munro, (as G. holbrooki) Essays in Zoology (1990); Ng et al, (as G. holbrookii) Biol. Conserv., 64 (1993) 19-20; Fernando & Phang, Freshwater Ornamental Fish Aquaculture in Singapore (1994); Subaraj et al, (as G. holbrookii) The Pangolin 8 (1995) 7; Lim et al, (as G. holbrookii) The Pangolin 8 (1995) 22; Lever, Naturalized Fishes of the World (1996); Ng & Lim, (as G. holbrookii) Proc. Singap. National Acad. Sci., 22-25 (1997); Ng & Lim, (as G. holbrookii) Gard Bull (Singapore), 49 (1997) 259;

Ng & Lim, 1997b (as G. holbrookii); 
Baker & Lim, 2008, 2012;
Ng HH & Tan HH, 2010; 
Tan HTW et al., 2010; 
Yeo & Lim, 2010; 
Davison et al., 2012; 
Ng HH & Tan HH, 2013;
Tan, 2014d, 2016a; 
Kwik & Yeo, 2015; 
Ho et al., 2016;
Lim et al., 2016; 
Tan et al., 2016; 
Tan et al., 2017b"
Naturalised,Puntigrus partipentazona,"Fowler, 1934",Five-banded Tiger barb,,Freshwater,Animalia,Chordata ,Actinopteri,Cypriniformes,Cyprinidae,Puntigrus ,partipentazona,Indomalayan,Southeast Asia,Puntius partipentazona,"Boeseman, M. (1957). On a collection of East Asian fishes. Zoologische Mededelingen, 35(7): 69–78.",73,1957,,,Singapore,Puntius partipentazona,"Boeseman, M. (1957). On a collection of East Asian fishes. Zoologische Mededelingen, 35(7): 69–78.",1956,1956, , ,Singapore,Introduced as an aquariium fish through the ornamental fish trade,,Pet trade,"Ng, P. K. L., & Lim, K. K. P. (1997). The Diversity and Conservation Status of Fishes in the Nature Reserves of Singapore [Proceedings of the Nature Reserves Survey Seminar]. Gardens' Bulletin Singapore, 49, 245-265. ",N,,,N,,"Anonymous, (as Puntius partipentazona) The Pangolin, 3(1–4) (1990) 14; Lim & Ng, (as Puntius partipentazona) A Guide to the Freshwater Fishes of Singapore (1990) 38–39; Munro, (as Puntius partipentazona) Essays in Zoology (1990) ; Ng, (as Puntius partipentazona) A Guide to Freshwater life in Singapore (1991) 135; Ng et al, (as Puntius partipentazona) Biol. Conserv., 64 (1993) 20–21; Lim, (as Puntius partipentazona) Rainforest in the city: Bukit Timah Nature Reserve, Singapore (1995) 160–161; Lim et al, (as Puntius partipentazona) The Pangolin, 8(1–4) (1995) 22; Subaraj et al, (as Puntius partipentazona) The Pangolin, 8(1–4) (1995) 7; Ng & Lim, (as Puntius partipentazona) Journal of the Singapore National Academy of Science, 22–24 (1997) 115, 122; Ng & Lim, (as Puntius partipentazona) Gard. Bull. Singapore, 49(2) (1997) 256, 259; Baker & Lim, (as Systomus partipentazona) Wild Animals of Singapore 1st Edition (2008) 164; Baker & Lim, (as Systomus partipentazona) Wild Animals of Singapore 2nd Edition (2012) 164

 ",
Naturalised,Acarichthys heckelii,"Müller & Troschel, 1849","Heckel’s Eartheater, Heckel's Threadfin Acara",,Freshwater,Animalia,Chordata,Actinopteri ,Cichliformes,Cichlidae,Acarichthys,heckelii,Neotropic,South America,Acarichthys heckelli,"Baker, N., & Lim, K. (2008). Wild Animals of Singapore: A Photographic Guide to Mammals, Reptiles, Amphibians and Freshwater Fishes (1st ed.). Draco Publishing and Distribution Pte. Ltd. Nature Society (Singapore). 180 pp.",165,2008,,,Singapore,Acarichthys heckelii,"Tan, H. H., & Lim, K. K. P. (2008). Acarichthys heckelii (Müller & Troschel), an introduced cichlid fish in Singapore. Nature in Singapore, 1, 129-133.",21/10/2006,2006,1.3720000,103.8258000,Lower Peirce Reservoir Park,Ornamental fish,,Pet trade,"Tan, H. H., & Lim, K. K. P. (2008). Acarichthys heckelii (Müller & Troschel), an introduced cichlid fish in Singapore. Nature in Singapore, 1, 129-133.",N,,,N,,"Tan & Lim, Nature in Singapore 1 (2008) 129-133; Baker & Lim, Wild Animals of Singapore 2nd Edition (2012) 165; Ng & Tan, Cosmos 6(1) (2010) 106-107 ; Kwik et al, BioInvasions Rec, 2(3) (2013) 241, 243; Liew et al, Environ. Biol. Fishes 97 (2013) 1109–1118; Tan, Singapore Biodiversity Records (2014) 91–92; Tan, Singapore Biodiversity Records (2016) 105-106; Ho et al, A Guide to the Freshwater Fauna of Nee Soon Swamp Forest (2016) 57",Autecology of this recently-introduced species was documented by Liew et al. (2013).Marie-Pauline Girin
Naturalised,Amblypharyngodon chulabhornae,"Vidthayanon & Kottelat, 1990",Princess Carplet,,Freshwater,Animalia ,Chordata,Actinopteri ,Cypriniformes,Cyprinidae,Amblypharyngodon,chulabhornae,Indomalayan,Southeast Asia,Amblypharyngodon chulabhornae,"Vidthayanon, C., & Kottelat, M. (1990). Amblypharyngodon chulabhornae Sp. Nov., A New Cyprinid Fish from Thailand and Kampuchea. The National History Bulletin of the Siam Society, 38(38), 45-57","48,56",1990,,,Singapore,Amblypharyngodon chulabhornae,"Vidthayanon, C., & Kottelat, M. (1990). Amblypharyngodon chulabhornae Sp. Nov., A New Cyprinid Fish from Thailand and Kampuchea. The National History Bulletin of the Siam Society, 38(38), 45-57. ",1986,1986,1.3840000,103.7470000,Choa Chu Kang ,"Imported as contaminants in the aquatic trade, or traded in as aquarium fish",,Pet trade,"Lim, K. K. P., & Tan, H. H. (2012). Addition of fish species to the established alien fauna of Singapore: Amblypharyngodon chulabhornae and Brachygobius sabanus. Nature in Singapore, 5, 69-72. ",N,,,N,,"Ng et al, Biol Conserv 64 (1993) 20; Ng & Lim, Journal of the Singapore National Academy of Science 22-24 (1997) 116; Ng & Lim, Gard Bull (Singapore) (1997) 256;  Baker & Lim, Wild Animals of Singapore 2nd Edition (2012) 171; Lim & Tan, Nature in Singapore 5 (2012) 69-70; Lim et al, Singapore Biodiversity Records (2013) 60-61; Tan et al, Singapore Biodiversity Records (2016) 186-187",
Naturalised,Amphilophus citrinellus,"Günther, 1864","Midas Cichlid, Red Devil",,Freshwater,Animalia,Chordata,Actinopteri ,Cichliformes,Cichlidae,Amphilophus,citrinellus,Neotropic,South America,Amphilophus citrinellus,"Ng, H. H., & Tan, H. H. (2010). An annotated checklist of the non-native freshwater fish species in the reservoirs of Singapore. COSMOS, 6, 95-116. https://doi.org/10.1142/S0219607710000504 ",107-107,2010,1.3418000,103.7282000,Jurong Lake,Amphilophus citrinellus,"Ng, H. H., & Tan, H. H. (2010). An Annotated Checklist of the non-native freshwater fish species in the reservoirs of Singapore. COSMOS, 06(01), 95-116. https://doi.org/10.1142/s0219607710000504",12/2006 - 09/2009,2006,1.3418000,103.7282000,Jurong Lake,Possibly Ornamental Fish Trade,,Pet trade,"Lim, K. K. P. (2013). Midas cichlids at Yishun Pond. Singapore Biodiversity Records, 2013, 110. ",N,,,N,,"Ng & Tan, Cosmos 6(1) (2010) 107-108; Kwik et al, BioInvasions Rec, 2(3) (2013) 239-245; Lim, Singapore Biodiversity Rec. (2013) 110; Yeo (2013); Tan, Singapore Biodiversity Records (2014) 98-99; Tan, Singapore Biodiversity Records (2016) 137-140",
Naturalised,Amphilophus citrinellus,"Günther, 1864","Midas Cichlid, Red Devil",,Freshwater,Animalia,Chordata,Actinopteri ,Cichliformes,Cichlidae,Amphilophus,citrinellus,Neotropic,South America,Amphilophus citrinellus,"Ng, H. H., & Tan, H. H. (2010). An annotated checklist of the non-native freshwater fish species in the reservoirs of Singapore. COSMOS, 6, 95-116. https://doi.org/10.1142/S0219607710000504 ",107-108,2010,1.3154000,103.7434000,Pandan Reservoir,Amphilophus citrinellus,"Ng, H. H., & Tan, H. H. (2010). An Annotated Checklist of the non-native freshwater fish species in the reservoirs of Singapore. COSMOS, 06(01), 95-116. https://doi.org/10.1142/s0219607710000504",12/2006 - 09/2009,2006,1.3154000,103.7434000,Pandan Reservoir,Possibly Ornamental Fish Trade,,Pet trade,"Lim, K. K. P. (2013). Midas cichlids at Yishun Pond. Singapore Biodiversity Records, 2013, 110. ",N,,,N,,"Ng & Tan, Cosmos 6(1) (2010) 107-108; Kwik et al, BioInvasions Rec, 2(3) (2013) 239-245; Lim, Singapore Biodiversity Records (2013) 110; Yeo (2013); Tan, Singapore Biodiversity Records (2014) 98-99; Tan, Singapore Biodiversity Records (2016) 137-141",
Naturalised,Apistogramma borelli,"Regan, 1906","Borelli's dwarf cichlid, Dwarf Cichlid, Umbrella cichlid, Yellow dwarf cichlid","Heterogramma borellii, Apistogramma reitzigi, Apistogramma aequipinnis, Heterogramma ritense",Freshwater,Animalia,Chordata,Actinopteri ,Cichliformes,Cichlidae,Apistogramma,borelli,Neotropic,South America,Apistogramma sp.,"Tan, H. T. W., Chou, L. M., Yeo, D. C. J. & Ng, P. K. L. (2010) The Natural Heritage of Singapore. Third edition. Prentice Hall, Singapore, ix + 323 pp.",253,2010,,,Singapore,Apistogramma borelli,"Liew, J. H., Tan, H. H., & Yeo, D. C. J. (2012). Some cichlid fishes recorded in Singapore. Nature in Singapore, 5, 229-236.",8/9/1999,1999,1.4006460,103.7998920,"Stream in Upper Seletar Reservoir Park, outflow of Nee Soon Swamp Forest",Ornamental Fish Trade,,Pet trade,"Liew, J. H., Tan, H. H., & Yeo, D. C. J. (2012). Some cichlid fishes recorded in Singapore. Nature in Singapore, 5, 229-236.",N,,,N,,"Liew et al, Nature in Singapore 5 (2012) 230; Ho et al, A Guide to the Freshwater Fauna of Nee Soon Swamp Forest (2016) 58",borelli with double or single 'i' used interchangeably
Naturalised,Aplocheilus lineatus,"Valenciennes in Cuvier and Valenciennes, 1846","Striped Panchax, Sparkling Panchax, Malabar killi","Aplocheilus affinis, Aplocheilus lineolatus, Aplocheilus rubropictus, Aplocheilus vittatus, Aplochilus lineatus, Haplocheilus lineatus, Haplochilus lineatus, Haplochilus rubropictus, Panchax lineatum, Panchax lineatus",Freshwater,Animalia,Chordata,Actinopteri ,Cyprinodontiformes,Aplocheilidae,Aplocheilus ,lineatus ,Indomalayan,South Asia,Aplocheilus lineatus,"Yeo, D. C. J., & Lim, K. K. P. (2010). Aplocheilus lineatus, a non-native killifish (Actinopterygii: Cyprinodontiformes: Aplocheilidae) in Singapore. Nature in Singapore, 3, 327-332.",327–332,2010,1.3485000,103.7642000,Bukit Batok Nature Park,Aplocheilus lineatus,"Yeo, D. C. J., & Lim, K. K. P. (2010). Aplocheilus lineatus, a non-native killifish (Actinopterygii: Cyprinodontiformes: Aplocheilidae) in Singapore. Nature in Singapore, 3, 327-332.",27/6/2004,2004,1.3485000,103.7642000,In a small and shallow stream at the Bukit Batok Nature Park (BBNP),Ornamental fish trade,,Pet trade,"Yeo, D. C. J., & Lim, K. K. P. (2010). Aplocheilus lineatus, a non-native killifish (Actinopterygii: Cyprinodontiformes: Aplocheilidae) in Singapore. Nature in Singapore, 3, 327-332.",N,,,N,,"Baker & Lim, Wild Animals of Singapore 2nd Edition (2012) 171; Kwik & Yeo, Hydrobiologia, 762 (2015) 147; Tan et al, Singapore Biodiversity Records (2017a) 3-4",
Naturalised,Barbodes rhombeus,"Kottelat, 2000",Indochinese Spotted Barb,"Puntius rhombeus, Systomus rhombeus, Puntius binotatus (previously recorded as)",Freshwater,Animalia,Chordata,Actinopteri ,Cypriniformes ,Cyprinidae,Barbodes,rhombeus,Indomalayan,Southeast Asia,Puntius binotatus,"Subaraj, R., Lim, K. K. P., & Teo, R. (1995) [issued 2000]. Late Records (1993-1994). The Pangolin, 8(1-4): 1-9","7, 22",1995,1.3561630,103.8043010,Sime Forest-Rifle Range Forest streams,Puntius binotatus,"Subaraj, R., Lim, K. K. P., & Teo, R. (1995) [issued 2000]. Late Records (1993-1994). The Pangolin, 8(1-4), 1-9.",8-10/07/1994,1994,1.3561630,103.8043010,Sime Forest-Rifle Range Forest streams,Deliberate/mercy release,,Mercy release,"Tan, J. Y. H., Tan, L. H. C., Quek, G., Lim, V. S. F., & Tan, H. H. (2013). The fish fauna of Bukit Brown, Singapore. Nature in Singapore, 6, 229-237.",N,,,N,,"Ng & Lim, (as Puntius binotatus) Journal of the Singapore National Academy of Science 22-24 (1997) 110, 115; Ng & Lim, (as Puntius binotatus) Gard Bull Singapore 49(2) (1997) 256; Tan et al, (as Systomus rhombeus) Nature in Singapore 6 (2013) 231; Tan & Low, Singapore Biodiversity Records (2014) 278; Kwik & Yeo (as Puntius binotatus) Hydrobiologia 762 (2015) 147; Ho et al, A Guide to the Freshwater Fauna of Nee Soon Swamp Forest (2016) 43",First and most early references are to Puntius binotatus - before the species was being redescribed in 2000
